iter	Passed	Remaining
846	1485	268
847	1487	266
848	1489	264
849	1490	263
850	1492	261
851	1493	259
852	1495	257
853	1496	255
854	1498	254
855	1499	252
856	1501	250
857	1502	248
858	1503	246
859	1505	245
860	1506	243
861	1508	241
862	1510	239
863	1511	237
864	1513	236
865	1515	234
866	1516	232
867	1518	230
868	1520	229
869	1521	227
870	1523	225
871	1524	223
872	1526	222
873	1527	220
874	1529	218
875	1530	216
876	1531	214
877	1533	213
878	1534	211
879	1535	209
880	1537	207
881	1539	205
882	1540	204
883	1541	202
884	1543	200
885	1545	198
886	1546	197
887	1547	195
888	1549	193
889	1550	191
890	1552	189
891	1553	188
892	1555	186
893	1556	184
894	1558	182
895	1559	181
896	1561	179
897	1562	177
898	1564	175
899	1565	173
900	1566	172
901	1568	170
902	1569	168
903	1571	166
904	1572	165
905	1574	163
906	1576	161
907	1577	159
908	1579	158
909	1580	156
910	1582	154
911	1583	152
912	1585	151
913	1586	149
914	1587	147
915	1589	145
916	1590	143
917	1592	142
918	1594	140
919	1596	138
920	1598	137
921	1599	135
922	1600	133
923	1602	131
924	1603	130
925	1605	128
926	1606	126
927	1608	124
928	1609	123
929	1611	121
930	1612	119
931	1614	117
932	1615	116
933	1617	114
934	1618	112
935	1620	110
936	1621	109
937	1623	107
938	1624	105
939	1626	103
940	1627	102
941	1629	100
942	1630	98
943	1631	96
944	1633	95
945	1635	93
946	1636	91
947	1638	89
948	1639	88
949	1641	86
950	1642	84
951	1644	82
952	1645	81
953	1647	79
954	1648	77
955	1650	75
956	1651	74
957	1653	72
958	1654	70
959	1655	68
960	1657	67
961	1658	65
962	1660	63
963	1661	62
964	1663	60
965	1664	58
966	1666	56
967	1667	55
968	1669	53
969	1670	51
970	1672	49
971	1673	48
972	1675	46
973	1676	44
974	1677	43
975	1679	41
976	1681	39
977	1682	37
978	1684	36
979	1685	34
980	1686	32
981	1688	30
982	1689	29
983	1691	27
984	1692	25
985	1694	24
986	1695	22
987	1697	20
988	1698	18
989	1700	17
990	1701	15
991	1703	13
992	1704	12
993	1706	10
994	1707	8
995	1709	6
996	1710	5
997	1712	3
998	1713	1
999	1714	0
